Control ID,Control Title,Assessment Objective ID,Assessment Objective,Assessment Methods,Status,Implementation Details,Evidence Reference,Gap Description,Point Deduction
3.14.3,Monitor security alerts and advisories,3.14.3[b],Appropriate response actions are taken,"Examine, Interview, Test",,,,,
3.14.4,Update malicious code protection,3.14.4[a],System is updated with latest protection mechanisms,"Examine, Interview, Test",,,,,
3.14.5,Perform periodic and real-time scans,3.14.5[a],System is scanned for malicious code at defined frequencies,"Examine, Interview, Test",,,,,
3.14.5,Perform periodic and real-time scans,3.14.5[b],Real-time scans of external files are performed,"Examine, Interview, Test",,,,,
3.14.6,Monitor systems and user activities,3.14.6[a],System is monitored to detect attacks,"Examine, Interview, Test",,,,,
3.14.6,Monitor systems and user activities,3.14.6[b],Unauthorized connections are detected,"Examine, Interview, Test",,,,,
3.14.7,Identify unauthorized use,3.14.7[a],Unauthorized system use is identified,"Examine, Interview, Test",,,,,
3.14.8,Send alert messages,3.14.8[a],Alerts are sent when compromise indicators occur,"Examine, Interview, Test",,,,,
3.14.9,Identify unauthorized components,3.14.9[a],Unauthorized hardware is identified,"Examine, Interview, Test",,,,,
3.14.9,Identify unauthorized components,3.14.9[b],Unauthorized software is identified,"Examine, Interview, Test",,,,,
3.14.9,Identify unauthorized components,3.14.9[c],Unauthorized firmware is identified,"Examine, Interview, Test",,,,,
3.14.9,Identify unauthorized components,3.14.9[d],Appropriate actions are taken when unauthorized components are detected,"Examine, Interview, Test",,,,,
3.14.10,Check file integrity,3.14.10[a],Integrity verification tools detect unauthorized changes,"Examine, Interview, Test",,,,,
3.14.11,Manage spam,3.14.11[a],Spam protection mechanisms are employed at entry points,"Examine, Interview, Test",,,,,
3.14.12,Monitor network communications,3.14.12[a],Inbound traffic is monitored for unusual activities,"Examine, Interview, Test",,,,,
3.14.12,Monitor network communications,3.14.12[b],Outbound traffic is monitored for unusual activities,"Examine, Interview, Test",,,,,
3.14.12,Monitor network communications,3.14.12[c],Appropriate action is taken when unusual activities are detected,"Examine, Interview, Test",,,,,
3.14.13,Control connections from system components,3.14.13[a],Connections from system components to other systems are controlled and monitored,"Examine, Interview, Test",,,,,
